CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
    Jonathan Joestar,
    Will A. Zeppeli,
    Robert E. O. Speedwagon,
    Dio Brando,
    Joseph Joestar,
    Caesar Anthonio Zeppeli,
    Lisa Lisa,
    Esidisi,
    Wamuu,
    Kars,
    Jotaro Kujo,
    Muhammad Avdol,
    Noriaki Kakyoin,
    Jean Pierre Polnareff,
    Iggy,
    Hol Horse,
    DIO,
    Josuke Higashikata (4th Part),
    Koichi Hirose,
    Okuyasu Nijimura,
    Rohan Kishibe,
    Shigekiyo Yangu,
    Akira Otoishi,
    Yoshikage Kira,
    Giorno Giovanna,
    Bruno Bucciarati,
    Narancia Ghirga,
    Guido Mista,
    Pannacotta Fugo,
    Diavolo,
    Jolyne Cujoh,
    Ermes Costello,
    Narciso Anasui,
    Enrico Pucci,
    Johnny Joestar,
    Gyro Zeppeli,
    Funny Valentine,
    Josuke Higashikata (8th Part),
