CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Akuma,https://cdn.discordapp.com/attachments/1239767599986905149/1239775841953513525/Tekken-7-Akuma-CG-art.jpg?ex=6645783a&is=664426ba&hm=881d732a22f4e4c33a4a8cee110a15102ce7cf94d3996bb216c3e18741be08ca&,meter,50 50,poking,,,
Alisa,https://cdn.discordapp.com/attachments/1239767599986905149/1240300146567155744/54e549b1a967eaad98aeaaa31acc16da3ed7d4b5.png?ex=66460f06&is=6644bd86&hm=d4c2ee28ba5050265174b4bf901b4f672a3e8d4acfca460fcf37e2ddadfe7761&,keep out,evasive,FTTAWSBFTMA,,,
Anna,https://cdn.discordapp.com/attachments/1239767599986905149/1240300366076317826/ddu7s9m-585265cb-1ead-4ecb-b730-ceac74bb7935.jpg?ex=66460f3a&is=6644bdba&hm=0d3af56ccb5b8761ba1799775a07e78a4fed6af82f739f08c3bd570981260dd8&,50 50,
Armor King,https://cdn.discordapp.com/attachments/1239767599986905149/1240300464235479081/Armor_King_T7.jpg?ex=66460f52&is=6644bdd2&hm=302491051c9ad9e1a2b5fecff061adcc4b21da7b257ffb7ff0fa4d3f32a6cbb5&,versatile,grappler,Mishima,,,
Asuka,https://cdn.discordapp.com/attachments/1239767599986905149/1240300683056648314/Latest-0.jpg?ex=66460f86&is=6644be06&hm=4b57a4bd15991b251e30d65fa154db726b6595fd9b75e76654abf311de71a765&,evasive,deflection,keep out,,,
Bob,https://cdn.discordapp.com/attachments/1239767599986905149/1240300838233051259/Tekken-7-bob.jpg?ex=66460fab&is=6644be2b&hm=ca69d0da8a0ab19e8b19a1b4366b45b3793811b41db0005c703bd94e487a0fe8&,poking,50 50,Mishima,,,
Bryan,https://cdn.discordapp.com/attachments/1239767599986905149/1240300922429771837/Bryan.Fury.600.4110215.jpg?ex=66460fbf&is=6644be3f&hm=0930485bc0d90e66f4c0e35954b176b70edae14fef5e4808dd961a3c4779ee6d&,counter hit,keep out,oppression
Claudio,https://cdn.discordapp.com/attachments/1239767599986905149/1240317954852257922/a3302770e94c613bfca3ffed1844cedb.jpg?ex=66461f9c&is=6644ce1c&hm=9373de6d3d0c4d7b64d38d927b26590fe71b31f04776088f2b1b29ccc91d5c47&,FTTAWSBFTMA,oppression,keep out,,,
Devil Jin,https://cdn.discordapp.com/attachments/1239767599986905149/1240318049173635132/Devil_Jin_TK8_Render.jpg?ex=66461fb2&is=6644ce32&hm=dd92e9c575841cbf0588aead99d5caef90a6f28166705be3d6b420554c5e9315&,Mishima,50 50,poking,,,
Dragunov,https://cdn.discordapp.com/attachments/1239767599986905149/1240318155725996072/e3631fe3567220577383f3cd3a78eaff.jpg?ex=66461fcc&is=6644ce4c&hm=147dfaced8f8f82a5e0e1c92285fe615036f3419cec6777927cd6149e8b3d321&,oppression,poking,FTTAWSBFTMA,,,
Eddy,https://cdn.discordapp.com/attachments/1239767599986905149/1240318238492197016/Eddy.jpg?ex=66461fe0&is=6644ce60&hm=e050f59b809a5dc323c1ad97cfcad14f9994e4c281023f81f3ffff3030798901&,evasive,keep out,50 50,,,
Eliza,https://cdn.discordapp.com/attachments/1239767599986905149/1240318323347034222/Eliza.jpg?ex=66461ff4&is=6644ce74&hm=e4f9152dc0a744bfe91331cda5b430fd89ff954b0dd1f8f540aee60437ad3ae3&,Meter,keep out,FTTAWSBFTMA,,,
Fahkumram,https://cdn.discordapp.com/attachments/1239767599986905149/1240318410034905231/Fahkumram.jpg?ex=66462008&is=6644ce88&hm=7ab9ca85abd3fe3decee89d9434e80006f188a60e776eb5c9d25e8bb7adae55d&,long reach,poking,50 50,,,
Feng,https://cdn.discordapp.com/attachments/1239767599986905149/1240318471154171964/Feng.jpg?ex=66462017&is=6644ce97&hm=d50d0de93d861e600b5cb2ac37a4d6331555851781cc72876ce61dc82884bc87&,evasive,poking,versatile,,,
Ganryu,https://cdn.discordapp.com/attachments/1239767599986905149/1240318568919339180/Ganryu.jpg?ex=6646202e&is=6644ceae&hm=291679a6cfba7867de96a7b0263ca63effd694abe4f988d8e76a14bb5f51c113&,poking,50 50,oppression,,,
Geese,https://cdn.discordapp.com/attachments/1239767599986905149/1240318659822358601/Geese.jpg?ex=66462044&is=6644cec4&hm=ef003f1a6ad3d4dde68f30da1a5a0058deaf6b0e5683a622ee4968dca3760ea2&,meter,poking,parry,,,
Gigas,https://cdn.discordapp.com/attachments/1239767599986905149/1240319070876995665/Gigas_CG.jpg?ex=664620a6&is=6644cf26&hm=4ead03a4309ae6e07b50a916e908e33a423a504cd7e7fb427bc2f6854d224069&,long reach,oppression,deflection,,,
Heihachi,https://cdn.discordapp.com/attachments/1239767599986905149/1240319142851248179/Heihachi.jpg?ex=664620b7&is=6644cf37&hm=ca4894c3db4742d6ff6536c5ef3b54ce922ca661f6b653c2a16e3cddb44e36b6&,Mishima,oppression,counter hit,,,
Hwoarang,https://cdn.discordapp.com/attachments/1239767599986905149/1240319508850409542/a332472533b212ce8c017a47938bc0b43bbaad8f.png?ex=6646210e&is=6644cf8e&hm=2321fceda37965b2c816112b64a782c7757b9ee95ced872dd7f99042fdcf117c&,rushdown,50 50,deflection,,,
Jack-7,https://cdn.discordapp.com/attachments/1239767599986905149/1240319604321161237/Jack-7.jpg?ex=66462125&is=6644cfa5&hm=530893506b09c9a11e427585b428f1251d7f8fbe5b4d3b659acb1cc8e2ed8006&,long reach,keep out,50 50,,,
Jin,https://cdn.discordapp.com/attachments/1239767599986905149/1240319677125759067/Jin.jpg?ex=66462137&is=6644cfb7&hm=22f67d2b9aa739b9a42b28706e75d8d42987713f9bd4170d05b4e3b33f790921&,versatile,Mishima,keep out,,,
Josie,https://cdn.discordapp.com/attachments/1239767599986905149/1240319839470354472/Josie.jpg?ex=6646215d&is=6644cfdd&hm=34614f1206ce185235c31a087317eca912b5cde89d2b18ae7719f816901e7c2b&,rushdown,counter hit,FTTAWSBFTMW,,,
Julia,https://cdn.discordapp.com/attachments/1239767599986905149/1240319998736470016/Julia.jpg?ex=66462183&is=6644d003&hm=955526bdd31c8974aac08290579d10184707c80b1aae1e02047753f1a3020fc2&,rushdown,50 50,FTTAWSBFTMW,,,
Katarina,https://cdn.discordapp.com/attachments/1239767599986905149/1240320077350309999/Katarina.jpg?ex=66462196&is=6644d016&hm=36464f3788a09a2f810932da79fd0159233f0815b9501b03a88ed67d56ea982b&,poking,counter hit,versatile,,,
Kazumi,https://cdn.discordapp.com/attachments/1239767599986905149/1240320135416385667/Kazumi.jpg?ex=664621a4&is=6644d024&hm=dae7db0026408b15b518ee9ac2a009f0aaa7d86451ec8813df31845b75ac70fe&,poking,FTTAWSBFTMA,Mishima,,,
Kazuya,https://cdn.discordapp.com/attachments/1239767599986905149/1240321229110378536/Kazuya_1.png?ex=664622a9&is=6644d129&hm=9d1c477e0969c3188e8f1b0e5dfecfe1acb235abd7b698f97a514ec0f16e5659&,Mishima,50 50,counter hit,,,
King,https://cdn.discordapp.com/attachments/1239767599986905149/1240321418965680128/King.jpg?ex=664622d6&is=6644d156&hm=59cdbf2178e985cceb63682de1c54aabb3476e44bedaed7daebd11404895f5c7&,grappler,poking,counter hit,,,
Kuma,https://cdn.discordapp.com/attachments/1239767599986905149/1240321477480419371/Kuma.jpg?ex=664622e4&is=6644d164&hm=044ed8f5460e58a54a80b7f9624e4157c48b2a5636e3771c2071b32d4bb327a3&,long reach,poking,keep out,,,
Kunimitsu,https://cdn.discordapp.com/attachments/1239767599986905149/1240321521730453604/Kunimitsu.jpg?ex=664622ee&is=6644d16e&hm=a2afd9d399e801525dc1a27fbecc4da3fb5d2baafe0c2a45a6fdd548cb001e82&,FTTAWSBFTMA,50 50,poking,,,
Lars,https://cdn.discordapp.com/attachments/1239767599986905149/1240321592995872768/Lars.jpg?ex=664622ff&is=6644d17f&hm=94f8cd319c11ec09ac628fed9afeb5bab1254aaebbfd900d02e8d2bf450d5f08&,poking,50 50,evasive,,,
Law,https://cdn.discordapp.com/attachments/1239767599986905149/1240321878275653694/Law.jpg?ex=66462343&is=6644d1c3&hm=0116e898619a01435afe556736eef305789f23c33b882b3092ee1be5df09922d&,Law,rushdown,parry,,,
Lee,https://cdn.discordapp.com/attachments/1239767599986905149/1240321935800406087/Lee.jpg?ex=66462351&is=6644d1d1&hm=5a52d370db5126f6d39e02785b7cb7b3164198bce385b49fd9ea082ec3802d0d&,Law,keep out,evasive,,,
Lei,https://cdn.discordapp.com/attachments/1239767599986905149/1240321990829543545/Lei.jpg?ex=6646235e&is=6644d1de&hm=f194a0885eac960ab789ca00c13df2fbf2676c13c6989c44885a5407d90eb970&,50 50,versatile,FTTAWSBFTMA,,,
Leo,https://cdn.discordapp.com/attachments/1239767599986905149/1240322057716371498/Leo.jpg?ex=6646236e&is=6644d1ee&hm=a0e945cf23a399819445220513b6d6a3a399e0f755e2a935b55792bcf14390bb&,versatile,keep out,50 50,,,
Leroy,https://cdn.discordapp.com/attachments/1239767599986905149/1240322124497944677/Leroy.jpg?ex=6646237e&is=6644d1fe&hm=439565d81b03c4866a77fa5d940310d47cce2ae3a4d5aa228beafda9e1c64cda&,versatile,50 50,parry,,,
Lidia,https://cdn.discordapp.com/attachments/1239767599986905149/1240322199773118494/Lidia.jpg?ex=66462390&is=6644d210&hm=24d4726d03b6b4d5e8691afc3681ba1ccea67270c073e18db45d5b723249ad90&,50 50,rushdown,parry,,,
Lili,https://cdn.discordapp.com/attachments/1239767599986905149/1240322273685278770/Lili.jpg?ex=664623a2&is=6644d222&hm=3f57e3f0044a0be66bf076d703bbf6137642694a15871abf1d400aeb31097a03&,evasive,keep out,oppression,,,
Lucky Chloe,https://cdn.discordapp.com/attachments/1239767599986905149/1240322836816723998/Lucky_Chloe.jpg?ex=66462428&is=6644d2a8&hm=a132902a4cda95229cbc6cf0d2c35295e18dd64466c3420dc782055fec3c9008&,poking,evasive,rushdown,,,
Marduk,https://cdn.discordapp.com/attachments/1239767599986905149/1240322897357307914/Marduk.jpg?ex=66462436&is=6644d2b6&hm=9e5031bf59c26e7183822da590dde44c4bddc2453859d2940b9c109a355b0de8&,setup,long reach,counter hit,,,
Master Raven,https://cdn.discordapp.com/attachments/1239767599986905149/1240322964969226280/Master_Raven.jpg?ex=66462446&is=6644d2c6&hm=2d21a98d578dbcc30c311ff1df8013da87eb7aebb1dc141eb5a0f10dc759c196&,evasive,versatile,50 50,,,
Miguel,https://cdn.discordapp.com/attachments/1239767599986905149/1240323026994724864/Miguel.jpg?ex=66462455&is=6644d2d5&hm=c3350b4fd7f8e999006feae107b264ec6f9fe3dfe5145f20c67e6874a116da53&,poking,rushdown,counter hit,,,
Negan,https://cdn.discordapp.com/attachments/1239767599986905149/1240323087933636648/Negan.jpg?ex=66462464&is=6644d2e4&hm=52ab1c23875c5e6c301d53d503862ebc2c04fb146ae28b8914ef49e316596c72&,poking,oppression,deflection,,,
Nina,https://cdn.discordapp.com/attachments/1239767599986905149/1240323144196296897/Nina.jpg?ex=66462471&is=6644d2f1&hm=dad3563102d7bf872ed5fd001b3cff9c9fdd33adb93fba65f9496f9b6b8260a1&,poking,rushdown,versatile,,,
Noctis,https://cdn.discordapp.com/attachments/1239767599986905149/1240323218007392298/Noctis.jpg?ex=66462483&is=6644d303&hm=c813636d123ab32770007bed574a2c82bd4b8202ff61cf2781826ae82b021787&,FTTAWSBFTMA,long reach,poking,,,
Paul,https://cdn.discordapp.com/attachments/1239767599986905149/1240323263054352464/Paul.jpg?ex=6646248e&is=6644d30e&hm=c734d9ec3c73b7d2eb7c99acad0e20b962101cd7d2f8ccab45d4165265d4368d&,keep out,counter hit,50 50,,,
Shaheen,https://cdn.discordapp.com/attachments/1239767599986905149/1240323321472483400/Shaheen.jpg?ex=6646249b&is=6644d31b&hm=2cc22c482abab4d0d6acb05af0de03a3d76b1b37821144947b72906c5c39966e&,Law,long reach,50 50,,,
Steve,https://cdn.discordapp.com/attachments/1239767599986905149/1240323368897613916/Steve.jpg?ex=664624a7&is=6644d327&hm=1ba813b66d8bdaf117a10fc5b9dfed07eaa27e5f327b18a91e14ea05d0a0fdf4&,counter hit,versatile,evasive,,,
Xiaoyu,https://cdn.discordapp.com/attachments/1239767599986905149/1240323425810251806/Xiaoyu.jpg?ex=664624b4&is=6644d334&hm=132bfd0574d7b638c7e7b90e7547b32c3427587c5a00b42aa1d0e49f06f28953&,evasive,setup,versatile,,,
Yoshimitsu,https://cdn.discordapp.com/attachments/1239767599986905149/1240323476536033350/Yoshimitsu.jpg?ex=664624c0&is=6644d340&hm=71beb965da3db864afccfd04376c9b64c401c3511faf8b53eb81d3449a7ab42a&,versatile,deflection,evasive,,,
Zafina,https://cdn.discordapp.com/attachments/1239767599986905149/1240323534522421299/Zafina.jpg?ex=664624ce&is=6644d34e&hm=7aee27a27583436e6c8f5b43e75e05b1528167ac54b4dca7056354a11023b10e&,evasive,poking,counter hit,,,
