CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Alisa Bosconovitch,
Anna Williams,
Armor King II,
Asuka Kazama,
Baek Doo San,
Bob,
Bruce Irvin,
Bryan Fury,
Christie Monteiro,
Craig Marduk,
Devil Jin,
Eddy Gordo,
Feng Wei,
Ganryu,
Heihachi Mishima,
Hwoarang,
Jack-6,
Jin Kazama,
Julia Chang,
Kazuya Mishima,
King,
Kuma,
Lars Alexandersson,
Lee Chaolan,
Lei Wulong,
Leo Kliesen,
Lili Rochefort,
Ling Xiaoyu,
Marshall Law,
Miguel Caballero Rojo,
Mokujin,
Nina Williams,
Panda,
Paul Phoenix,
Raven,
Roger Jr.,
Sergei Dragunov,
Steve Fox,
Wang Jinrei,
Yoshimitsu,
Zafina,
