CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Ash Crimson,
Oswald,
Elisabeth Blanctorche,
Shen Woo,
Duo Lon,
Adelheid Bernstein,
Malin,
Gai Tendo,
Sho Hayate,
Kyo Kusanagi,
Benimaru Nikaido,
Goro Daimon,
Terry Bogard,
Andy Bogard,
Joe Higashi,
Ryo Sakazaki,
Robert Garcia,
Yuri Sakazaki,
Mai Shiranui,
King,
Heidern,
Leona Heidern,
Athena Asamiya,
Sie Kensou,
Chin Gentsai,
Kim Kaphwan,
Chang Koehan,
Choi Bounge,
Yashiro Nanakase,
Shermie,
Chris,
Iori Yagami,
Mature,
Vice,
