CharacterName,ImageLink,Archetype,Archetype2,Archetype3,Archetype4,Archetype5
Kyo Kusanagi,
Benimaru Nikaido,
Goro Daimon,
Terry Bogard,
Andy Bogard,
Joe Higashi,
Ryo Sakazaki,
Robert Garcia,
Yuri Sakazaki,
Mai Shiranui,
King,
Takuma Sakazaki,
Athena Asamiya,
Sie Kensou,
Chin Gentsai,
Kim Kaphwan,
Chang Koehan,
Hwa Jai,
Ralf Jones,
Clark Still,
Leona Heidern,
Heidern,
Maxima,
K',
Kula Diamond,
Maxima,
Vice,
Mature,
Iori Yagami,
Billy Kane,
Saiki,
Ash Crimson,
Elisabeth Blanctorche,
Duo Lon,
Shen Woo,
Kim Kaphwan,
Mr. Karate,
