Games,ReleaseDate,CharactersPath,ImageLink,2D,3D,TagTeam,AirDashers,Anime,WeaponBased,Fast-paced,Footsies,SlowPaced,Installbased,CrossOver
Tekken 1,1994,Data/Tekken.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-1-Cover.png,,X,,,,,,,X,,
Tekken 2,1995,Data/Tekken 2.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-2-Cover.jpg,,X,,,,,,,X,,
Tekken 3,1997,Data/Tekken 3.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-3-Cover.jpg,,X,,,,,,,X,,
Tekken 4,2001,Data/Tekken 4.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-4-Cover.jpg,,X,,,,,,X,,,
Tekken 5,2004,Data/Tekken 5.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-5-Cover.jpg,,X,,,,,,X,,,
Tekken 6,2007,Data/Tekken 6.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-6-Cover.jpg,,X,,,,,,X,,,
Tekken 7,2015,Data/Tekken 7.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-7-Cover.jpg,,X,,,,,X,X,,,
Tekken 8,2024,Data/Tekken 8.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-8-Cover.jpg,,X,,,,,X,,,,
Tekken 5 Dark Resurrection,2005,Data/Tekken 5: Dark Resurrection.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-5-Dark-Resurrection-Cover.jpg,,X,,,,,,X,,,
Tekken 6 Bloodline Rebellion,2008,Data/Tekken 6: Bloodline Rebellion.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-6-Bloodline-Rebellion-Cover.jpg,,X,,,,,,X,,,
Tekken 7 Fated Retribution,2016,Data/Tekken 7: Fated Retribution.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-7-Fated-Retribution-Cover.jpg,,X,,,,,X,,,,
Tekken Hybrid,2011,Data/Tekken Hybrid.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-Hybrid-Cover.jpg,,X,,,,,,X,,,
Tekken Tag Tournament 2 Unlimited,2012,Data/Tekken Tag Tournament 2 Unlimited.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-Tag-Tournament-2-Unlimited-Cover.jpg,,X,,,,,,X,,,
Tekken 7 Fated Retribution,2016,Data/Tekken 7: Fated Retribution.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-7-Fated-Retribution-Cover.jpg,,X,,,,,X,X,,,
Tekken Tag Tournament,1999,Data/Tekken Tag Tournament.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-Tag-Tournament-Cover.jpg,,X,X,,,,,X,,,
Tekken Tag Tournament 2,2011,Data/Tekken Tag Tournament 2.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Tekken-Tag-Tournament-2-Cover.jpg,,X,X,,,,,X,,,
Guilty Gear ORIGINAL,1998,Data/Guilty Gear.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Guilty-Gear-ORIGINAL-Cover.jpg,X,,,X,X,,X,,,,
Guilty Gear X ver 1.5,2003,Data/Guilty Gear X ver 1.5.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Guilty-Gear-X-ver-1.5-Cover.png,X,,,X,X,,X,,,,
Guilty Gear XX Accent Core Plus R,2012,Data/Guilty Gear XX Accent Core Plus R.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Guilty-Gear-XX-Accent-Core-Plus-R-Cover.png,X,,,X,X,,X,,,,
Guilty Gear Xrd Rev 2,2017,Data/Guilty Gear Xrd Rev 2.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Guilty-Gear-Xrd-Rev-2-Cover.jpg,X,,,X,X,,X,,,,
Guilty Gear Strive,2021,Data/Guilty Gear Strive.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Guilty-Gear-Strive-Cover.jpg,X,,,X,X,,X,X,,,
Marvel Super Heroes vs. Street Fighter,1997,Data/Marvel Super Heroes vs. Street Fighter.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Marvel-Super-Heroes-vs.-Street-Fighter-Cover.jpg,X,,X,X,,,X,,,,X
X-Men vs Street Fighter,1996,Data/X-Men vs Street Fighter.csv,https://m.media-amazon.com/images/M/MV5BN2ZkYjc0ZmUtZmU5Ny00YTU1LTgxZmEtNGY1Y2NhN2RiMGNjXkEyXkFqcGdeQXVyMTgwNDM0Nzc0._V1_.jpg,X,,X,X,,,X,,,,X
Street Fighter,1987,Data/Street Fighter.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Street-Fighter-Cover.jpg,X,,,,,,,,X,,
Street Fighter II,1991,Data/Street Fighter II.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Street-Fighter-II-Cover.jpg,X,,,,,,,,X,,
Street Fighter Champion Edition,1992,Data/Street Fighter Champion Edition.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Street-Fighter-Champion-Edition-Cover.jpg,X,,,,,,,,X,,
Street Fighter II Hyper Fighting,1992,Data/Street Fighter II: Hyper Fighting.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Street-Fighter-II-Hyper-Fighting-Cover.jpg,X,,,,,,,,X,,
Hyper Street Fighter II,2003,Data/Hyper Street Fighter II.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Hyper-Street-Fighter-II-Cover.jpg,X,,,,,,,,X,,
Super Street Fighter II,1993,Data/Super Street Fighter II.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Super-Street-Fighter-II-Cover.jpg,X,,,,,,,,X,,
Super Street Fighter II Turbo,1994,Data/Super Street Fighter II Turbo.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Super-Street-Fighter-II-Turbo-Cover.jpg,X,,,,,,,,X,,
Street Fighter Alpha,1995,Data/Street Fighter Alpha.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Street-Fighter-Alpha-Cover.jpg,X,,,,,,,X,,,
Street Fighter Alpha 2,1996,Data/Street Fighter Alpha 2.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Street-Fighter-Alpha-2-Cover.jpg,X,,,,,,,X,,,
Street Fighter Alpha 3,1998,Data/Street Fighter Alpha 3.csv,https://storage.googleapis.com/fgc-recommendator.appspot.com/Street-Fighter-Alpha-3-Cover.jpg,X,,,,,,,X,,,
