Games,Image Path
Tekken 1,dataset/Tekken-1-Cover/Tekken-1-Cover.png
Tekken 2,dataset/Tekken-2-Cover/Tekken-2-Cover.jpg
Tekken 3,dataset/Tekken-3-Cover/Tekken-3-Cover.jpg
Tekken 4,dataset/Tekken-4-Cover/Tekken-4-Cover.jpg
Tekken 5,dataset/Tekken-5-Cover/Tekken-5-Cover.jpg
Tekken 6,dataset/Tekken-6-Cover/Tekken-6-Cover.jpg
Tekken 7,dataset/Tekken-7-Cover/Tekken-7-Cover.jpg
Tekken 8,dataset/Tekken-8-Cover/Tekken-8-Cover.jpg
Tekken 5 Dark Resurrection,dataset/Tekken-5-Dark-Resurrection-Cover/Tekken-5-Dark-Resurrection-Cover.jpg
Tekken 6 Bloodline Rebellion,dataset/Tekken-6-Bloodline-Rebellion-Cover/Tekken-6-Bloodline-Rebellion-Cover.jpg
Tekken 7 Fated Retribution,dataset/Tekken-7-Fated-Retribution-Cover/Tekken-7-Fated-Retribution-Cover.jpg
Tekken Hybrid,dataset/Tekken-Hybrid-Cover/Tekken-Hybrid-Cover.jpg
Tekken Tag Tournament 2 Unlimited,dataset/Tekken-Tag-Tournament-2-Unlimited-Cover/Tekken-Tag-Tournament-2-Unlimited-Cover.jpg
Tekken Tag Tournament,dataset/Tekken-Tag-Tournament-Cover/Tekken-Tag-Tournament-Cover.jpg
Tekken Tag Tournament 2,dataset/Tekken-Tag-Tournament-2-Cover/Tekken-Tag-Tournament-2-Cover.jpg
Guilty Gear ORIGINAL,dataset/Guilty-Gear-ORIGINAL-Cover/Guilty-Gear-ORIGINAL-Cover.jpg
Guilty Gear X ver 1.5,dataset/Guilty-Gear-X-ver-1.5-Cover/Guilty-Gear-X-ver-1.5-Cover.png
Guilty Gear XX Accent Core Plus R,dataset/Guilty-Gear-XX-Accent-Core-Plus-R-Cover/Guilty-Gear-XX-Accent-Core-Plus-R-Cover.png
Guilty Gear Xrd Rev 2,dataset/Guilty-Gear-Xrd-Rev-2-Cover/Guilty-Gear-Xrd-Rev-2-Cover.jpg
Guilty Gear Strive,dataset/Guilty-Gear-Strive-Cover/Guilty-Gear-Strive-Cover.jpg
Marvel Super Heroes vs. Street Fighter,dataset/Marvel-Super-Heroes-vs.-Street-Fighter-Cover/Marvel-Super-Heroes-vs.-Street-Fighter-Cover.jpg
X Men vs Street Fighter,dataset/X-Men-vs-Street-Fighter-Cover/X-Men-vs-Street-Fighter-Cover.jpg
Street Fighter,dataset/Street-Fighter-Cover/Street-Fighter-Cover.jpg
Street Fighter II,dataset/Street-Fighter-II-Cover/Street-Fighter-II-Cover.jpg
Street Fighter Champion Edition,dataset/Street-Fighter-Champion-Edition-Cover/Street-Fighter-Champion-Edition-Cover.jpg
