Games,ReleaseDate,CharactersPath,ImageLink,2D,3D,TagTeam,AirDashers,Anime,WeaponBased,Fast-paced,Footsies,SlowPaced,Installbased,CrossOver
Tekken,1994,Data/Tekken.csv,,,,,,,,,,,,
Tekken 2,1995,Data/Tekken 2.csv,,,,,,,,,,,,
Tekken 3,1997,Data/Tekken 3.csv,,,,,,,,,,,,
Tekken 4,2001,Data/Tekken 4.csv,,,,,,,,,,,,
Tekken 5,2004,Data/Tekken 5.csv,,,,,,,,,,,,
Tekken 6,2007,Data/Tekken 6.csv,,,,,,,,,,,,
Tekken 7,2015,Data/Tekken 7.csv,,,,,,,,,,,,
Tekken 8,2024,Data/Tekken 8.csv,,,,,,,,,,,,
Tekken 5: Dark Resurrection,2005,Data/Tekken 5: Dark Resurrection.csv,,,,,,,,,,,,
Tekken 6: Bloodline Rebellion,2008,Data/Tekken 6: Bloodline Rebellion.csv,,,,,,,,,,,,
Tekken 7: Fated Retribution,2016,Data/Tekken 7: Fated Retribution.csv,,,,,,,,,,,,
Tekken Hybrid,2011,Data/Tekken Hybrid.csv,,,,,,,,,,,,
Tekken Tag Tournament 2 Unlimited,2012,Data/Tekken Tag Tournament 2 Unlimited.csv,,,,,,,,,,,,
Tekken 7: Fated Retribution,2016,Data/Tekken 7: Fated Retribution.csv,,,,,,,,,,,,
Tekken Tag Tournament,1999,Data/Tekken Tag Tournament.csv,,,,,,,,,,,,
Tekken Tag Tournament 2,2011,Data/Tekken Tag Tournament 2.csv,,,,,,,,,,,,
Guilty Gear,1998,Data/Guilty Gear.csv,,,,,,,,,,,,
Guilty Gear X ver 1.5,2003,Data/Guilty Gear X ver 1.5.csv,,,,,,,,,,,,
Guilty Gear XX Accent Core Plus R,2012,Data/Guilty Gear XX Accent Core Plus R.csv,,,,,,,,,,,,
Guilty Gear Xrd Rev 2,2017,Data/Guilty Gear Xrd Rev 2.csv,,,,,,,,,,,,
Guilty Gear Strive,2021,Data/Guilty Gear Strive.csv,,,,,,,,,,,,
Marvel Super Heroes vs. Street Fighter,1997,Data/Marvel Super Heroes vs. Street Fighter.csv,,,,,,,,,,,,
X-Men vs Street Fighter,1996,Data/X-Men vs Street Fighter.csv,,,,,,,,,,,,
Street Fighter,1987,Data/Street Fighter.csv,,,,,,,,,,,,
Street Fighter II,1991,Data/Street Fighter II.csv,,,,,,,,,,,,
Street Fighter Champion Edition,1992,Data/Street Fighter Champion Edition.csv,,,,,,,,,,,,
Street Fighter II: Hyper Fighting,1992,Data/Street Fighter II: Hyper Fighting.csv,,,,,,,,,,,,
Hyper Street Fighter II,2003,Data/Hyper Street Fighter II.csv,,,,,,,,,,,,
Super Street Fighter II,1993,Data/Super Street Fighter II.csv,,,,,,,,,,,,
Super Street Fighter II Turbo,1994,Data/Super Street Fighter II Turbo.csv,,,,,,,,,,,,
Street Fighter Alpha,1995,Data/Street Fighter Alpha.csv,,,,,,,,,,,,
Street Fighter Alpha 2,1996,Data/Street Fighter Alpha 2.csv,,,,,,,,,,,,
Street Fighter Alpha 3,1998,Data/Street Fighter Alpha 3.csv,,,,,,,,,,,,
Street Fighter III New Generation,1997,Data/Street Fighter III New Generation.csv,,,,,,,,,,,,
Street Fighter III 2nd Impact,1997,Data/Street Fighter III 2nd Impact.csv,,,,,,,,,,,,
Street Fighter III 3rd Strike,1999,Data/Street Fighter III 3rd Strike.csv,,,,,,,,,,,,
Street Figther EX,1996,Data/Street Figther EX.csv,,,,,,,,,,,,
Street Fighther EX Plus,1997,Data/Street Fighther EX Plus.csv,,,,,,,,,,,,
Street Fighter EX 2,1998,Data/Street Fighter EX 2.csv,,,,,,,,,,,,
Street Fighter EX 2 Plus,1999,Data/Street Fighter EX 2 Plus.csv,,,,,,,,,,,,
Street Fighter EX 3,2000,Data/Street Fighter EX 3.csv,,,,,,,,,,,,
Street Fighter IV,2008,Data/Street Fighter IV.csv,,,,,,,,,,,,
Super Street Fighter IV,2010,Data/Super Street Fighter IV.csv,,,,,,,,,,,,
Super Street Fighter IV Arcade Edition,2011,Data/Super Street Fighter IV Arcade Edition.csv,,,,,,,,,,,,
Ultra Street Fighter IV,2014,Data/Ultra Street Fighter IV.csv,,,,,,,,,,,,
Street Fighter V Champion Edition,2020,Data/Street Fighter V Champion Edition.csv,,,,,,,,,,,,
Street Fighter VI,2023,Data/Street Fighter VI.csv,,,,,,,,,,,,
Stret Fighter X Tekken,2012,Data/Stret Fighter X Tekken.csv,,,,,,,,,,,,
