Games,Images Path
Tekken 1,dataset/Tekken-1-Cover/Image_1.jpg
Tekken 2,dataset/Tekken-2-Cover/Image_1.jpg
Tekken 3,dataset/Tekken-3-Cover/Image_1.jpg
Tekken 4,dataset/Tekken-4-Cover/Image_1.jpg
Tekken 5,dataset/Tekken-5-Cover/Image_1.jpg
Tekken 6,dataset/Tekken-6-Cover/Image_1.jpg
Tekken 7,dataset/Tekken-7-Cover/Image_1.jpg
Tekken 8,dataset/Tekken-8-Cover/Image_1.jpg
Tekken 5: Dark Resurrection,dataset/Tekken-5-Dark-Resurrection-Cover/Image_1.jpg
Tekken 6: Bloodline Rebellion,dataset/Tekken-6-Bloodline-Rebellion-Cover/Image_1.png
Tekken 7: Fated Retribution,dataset/Tekken-7-Fated-Retribution-Cover/Image_1.jpg
Tekken Hybrid,dataset/Tekken-Hybrid-Cover/Image_1.jpg
Tekken Tag Tournament 2 Unlimited,dataset/Tekken-Tag-Tournament-2-Unlimited-Cover/Image_1.jpg
Tekken 7: Fated Retribution,dataset/Tekken-7-Fated-Retribution-Cover/Image_1.jpg
Tekken Tag Tournament,dataset/Tekken-Tag-Tournament-Cover/Image_1.jpg
Tekken Tag Tournament 2,dataset/Tekken-Tag-Tournament-2-Cover/Image_1.jpg
Guilty Gear ORIGINAL,dataset/Guilty-Gear-ORIGINAL-Cover/Image_1.jpg
Guilty Gear X ver 1.5,dataset/Guilty-Gear-X-ver-1.5-Cover/Image_1.jpg
Guilty Gear XX Accent Core Plus R,dataset/Guilty-Gear-XX-Accent-Core-Plus-R-Cover/Image_1.jpg
Guilty Gear Xrd Rev 2,dataset/Guilty-Gear-Xrd-Rev-2-Cover/Image_1.jpg
Guilty Gear Strive,dataset/Guilty-Gear-Strive-Cover/Image_1.jpg
Marvel Super Heroes vs. Street Fighter,dataset/Marvel-Super-Heroes-vs.-Street-Fighter-Cover/Image_1.jpg
X-Men vs Street Fighter,dataset/X-Men-vs-Street-Fighter-Cover/Image_1.jpg
Street Fighter,dataset/Street-Fighter-Cover/Image_1.jpg
Street Fighter II,dataset/Street-Fighter-II-Cover/Image_1.jpg
Street Fighter Champion Edition,dataset/Street-Fighter-Champion-Edition-Cover/Image_1.jpg
Street Fighter II: Hyper Fighting,dataset/Street-Fighter-II-Hyper-Fighting-Cover/Image_1.jpg
Hyper Street Fighter II,dataset/Hyper-Street-Fighter-II-Cover/Image_1.jpg
Super Street Fighter II,dataset/Super-Street-Fighter-II-Cover/Image_1.jpg
Super Street Fighter II Turbo,dataset/Super-Street-Fighter-II-Turbo-Cover/Image_1.jpg
